VideoName,ValueExtraversion,ValueAgreeableness,ValueConscientiousness,ValueNeurotisicm,ValueOpenness,ImageName
#NAME?,0.317757009,0.549450549,0.368932039,0.322916667,0.544444444,#NAME?
#NAME?,0.317757009,0.549450549,0.368932039,0.322916667,0.544444444,#NAME?
#NAME?,0.317757009,0.549450549,0.368932039,0.322916667,0.544444444,#NAME?
#NAME?,0.317757009,0.549450549,0.368932039,0.322916667,0.544444444,#NAME?
#NAME?,0.317757009,0.549450549,0.368932039,0.322916667,0.544444444,#NAME?
#NAME?,0.299065421,0.373626374,0.32038835,0.291666667,0.344444444,#NAME?
#NAME?,0.299065421,0.373626374,0.32038835,0.291666667,0.344444444,#NAME?
#NAME?,0.299065421,0.373626374,0.32038835,0.291666667,0.344444444,#NAME?
#NAME?,0.299065421,0.373626374,0.32038835,0.291666667,0.344444444,#NAME?
#NAME?,0.299065421,0.373626374,0.32038835,0.291666667,0.344444444,#NAME?
-55DRRMTppE.005.mp4,0.738317757,0.769230769,0.737864078,0.6875,0.733333333,-55DRRMTppE.005_1.jpg
-55DRRMTppE.005.mp4,0.738317757,0.769230769,0.737864078,0.6875,0.733333333,-55DRRMTppE.005_2.jpg
-55DRRMTppE.005.mp4,0.738317757,0.769230769,0.737864078,0.6875,0.733333333,-55DRRMTppE.005_3.jpg
-55DRRMTppE.005.mp4,0.738317757,0.769230769,0.737864078,0.6875,0.733333333,-55DRRMTppE.005_4.jpg
-55DRRMTppE.005.mp4,0.738317757,0.769230769,0.737864078,0.6875,0.733333333,-55DRRMTppE.005_5.jpg
-9BZ8A9U7TE.004.mp4,0.504672897,0.604395604,0.417475728,0.59375,0.611111111,-9BZ8A9U7TE.004_1.jpg
-9BZ8A9U7TE.004.mp4,0.504672897,0.604395604,0.417475728,0.59375,0.611111111,-9BZ8A9U7TE.004_2.jpg
-9BZ8A9U7TE.004.mp4,0.504672897,0.604395604,0.417475728,0.59375,0.611111111,-9BZ8A9U7TE.004_3.jpg
-9BZ8A9U7TE.004.mp4,0.504672897,0.604395604,0.417475728,0.59375,0.611111111,-9BZ8A9U7TE.004_4.jpg
-9BZ8A9U7TE.004.mp4,0.504672897,0.604395604,0.417475728,0.59375,0.611111111,-9BZ8A9U7TE.004_5.jpg
#NAME?,0.76635514,0.824175824,0.757281553,0.84375,0.788888889,#NAME?
#NAME?,0.76635514,0.824175824,0.757281553,0.84375,0.788888889,#NAME?
#NAME?,0.76635514,0.824175824,0.757281553,0.84375,0.788888889,#NAME?
#NAME?,0.76635514,0.824175824,0.757281553,0.84375,0.788888889,#NAME?
#NAME?,0.76635514,0.824175824,0.757281553,0.84375,0.788888889,#NAME?
#NAME?,0.551401869,0.648351648,0.495145631,0.447916667,0.533333333,#NAME?
#NAME?,0.551401869,0.648351648,0.495145631,0.447916667,0.533333333,#NAME?
#NAME?,0.551401869,0.648351648,0.495145631,0.447916667,0.533333333,#NAME?
#NAME?,0.551401869,0.648351648,0.495145631,0.447916667,0.533333333,#NAME?
#NAME?,0.551401869,0.648351648,0.495145631,0.447916667,0.533333333,#NAME?
#NAME?,0.271028037,0.263736264,0.32038835,0.333333333,0.577777778,#NAME?
#NAME?,0.271028037,0.263736264,0.32038835,0.333333333,0.577777778,#NAME?
#NAME?,0.271028037,0.263736264,0.32038835,0.333333333,0.577777778,#NAME?
#NAME?,0.271028037,0.263736264,0.32038835,0.333333333,0.577777778,#NAME?
#NAME?,0.271028037,0.263736264,0.32038835,0.333333333,0.577777778,#NAME?
#NAME?,0.53271028,0.505494505,0.572815534,0.677083333,0.655555556,#NAME?
#NAME?,0.53271028,0.505494505,0.572815534,0.677083333,0.655555556,#NAME?
#NAME?,0.53271028,0.505494505,0.572815534,0.677083333,0.655555556,#NAME?
#NAME?,0.53271028,0.505494505,0.572815534,0.677083333,0.655555556,#NAME?
#NAME?,0.53271028,0.505494505,0.572815534,0.677083333,0.655555556,#NAME?
-IK--4uz5ZY.004.mp4,0.747663551,0.747252747,0.689320388,0.677083333,0.811111111,-IK--4uz5ZY.004_1.jpg
-IK--4uz5ZY.004.mp4,0.747663551,0.747252747,0.689320388,0.677083333,0.811111111,-IK--4uz5ZY.004_2.jpg
-IK--4uz5ZY.004.mp4,0.747663551,0.747252747,0.689320388,0.677083333,0.811111111,-IK--4uz5ZY.004_3.jpg
-IK--4uz5ZY.004.mp4,0.747663551,0.747252747,0.689320388,0.677083333,0.811111111,-IK--4uz5ZY.004_4.jpg
-IK--4uz5ZY.004.mp4,0.747663551,0.747252747,0.689320388,0.677083333,0.811111111,-IK--4uz5ZY.004_5.jpg
#NAME?,0.373831776,0.648351648,0.631067961,0.5,0.588888889,#NAME?
#NAME?,0.373831776,0.648351648,0.631067961,0.5,0.588888889,#NAME?
#NAME?,0.373831776,0.648351648,0.631067961,0.5,0.588888889,#NAME?
#NAME?,0.373831776,0.648351648,0.631067961,0.5,0.588888889,#NAME?
#NAME?,0.373831776,0.648351648,0.631067961,0.5,0.588888889,#NAME?
-R2SZu3SYgM.000.mp4,0.224299065,0.197802198,0.194174757,0.166666667,0.577777778,-R2SZu3SYgM.000_1.jpg
-R2SZu3SYgM.000.mp4,0.224299065,0.197802198,0.194174757,0.166666667,0.577777778,-R2SZu3SYgM.000_2.jpg
-R2SZu3SYgM.000.mp4,0.224299065,0.197802198,0.194174757,0.166666667,0.577777778,-R2SZu3SYgM.000_3.jpg
-R2SZu3SYgM.000.mp4,0.224299065,0.197802198,0.194174757,0.166666667,0.577777778,-R2SZu3SYgM.000_4.jpg
